dac_inputs (V),adc_outputs
0.715839,72
0.716444,73
0.717050,73
0.717656,73
0.718261,73
0.718867,73
0.719473,73
0.720078,74
0.720684,74
0.721289,74
0.721895,74
0.722501,74
0.723106,75
0.723712,75
0.724317,74
0.724923,75
0.725529,74
0.726134,74
0.726740,74
0.727346,74
0.727951,74
0.728557,74
0.729162,74
0.729768,74
0.730374,75
0.730979,75
0.731585,74
0.732190,75
0.732796,75
0.733402,75
0.734007,75
0.734613,75
0.735219,76
0.735824,75
0.736430,75
0.737035,76
0.737641,76
0.738247,75
0.738852,75
0.739458,76
0.740063,76
0.740669,76
0.741275,76
0.741880,76
0.742486,77
0.743092,76
0.743697,77
0.744303,76
0.744908,76
0.745514,76
0.746120,77
0.746725,76
0.747331,77
0.747937,76
0.748542,77
0.749148,76
0.749753,77
0.750359,76
0.750965,77
0.751570,77
0.752176,77
0.752781,77
0.753387,78
0.753993,78
0.754598,77
0.755204,77
0.755810,77
0.756415,78
0.757021,77
0.757626,78
0.758232,77
0.758838,78
0.759443,78
0.760049,78
0.760654,78
0.761260,78
0.761866,78
0.762471,78
0.763077,79
0.763683,79
0.764288,78
0.764894,79
0.765499,78
0.766105,78
0.766711,78
0.767316,79
0.767922,79
0.768527,79
0.769133,79
0.769739,79
0.770344,79
0.770950,79
0.771556,79
0.772161,79
0.772767,79
0.773372,79
0.773978,79
0.774584,79
0.775189,79
0.775795,79
0.776400,79
0.777006,80
0.777612,79
0.778217,80
0.778823,80
0.779429,80
0.780034,80
0.780640,80
0.781245,80
0.781851,81
0.782457,80
0.783062,81
0.783668,80
0.784274,80
0.784879,81
0.785485,81
0.786090,81
0.786696,81
0.787302,81
0.787907,81
0.788513,81
0.789118,81
0.789724,81
0.790330,82
0.790935,81
0.791541,82
0.792147,82
0.792752,82
0.793358,82
0.793963,81
0.794569,81
0.795175,81
0.795780,81
0.796386,81
0.796991,81
0.797597,82
0.798203,81
0.798808,82
0.799414,82
0.800020,82
0.800625,82
0.801231,82
0.801836,82
0.802442,83
0.803048,82
0.803653,82
0.804259,82
0.804864,82
0.805470,82
0.806076,82
0.806681,83
0.807287,83
0.807893,83
0.808498,84
0.809104,83
0.809709,83
0.810315,84
0.810921,83
0.811526,83
0.812132,83
0.812737,83
0.813343,83
0.813949,84
0.814554,84
0.815160,83
0.815766,84
0.816371,84
0.816977,84
0.817582,84
0.818188,84
0.818794,84
0.819399,85
0.820005,84
0.820611,84
0.821216,85
0.821822,84
0.822427,84
0.823033,84
0.823639,85
0.824244,84
0.824850,85
0.825455,86
0.826061,85
0.826667,85
0.827272,85
0.827878,85
0.828484,85
0.829089,85
0.829695,85
0.830300,85
0.830906,86
0.831512,85
0.832117,85
0.832723,85
0.833328,86
0.833934,86
0.834540,86
0.835145,86
0.835751,86
0.836357,86
0.836962,86
0.837568,86
0.838173,86
0.838779,86
0.839385,87
0.839990,86
0.840596,86
0.841201,86
0.841807,87
0.842413,87
0.843018,87
0.843624,86
0.844230,87
0.844835,87
0.845441,87
0.846046,87
0.846652,87
0.847258,87
0.847863,87
0.848469,87
0.849074,87
0.849680,87
0.850286,87
0.850891,87
0.851497,87
0.852103,88
0.852708,88
0.853314,88
0.853919,88
0.854525,88
0.855131,88
0.855736,88
0.856342,88
0.856947,88
0.857553,89
0.858159,88
0.858764,88
0.859370,88
0.859976,88
0.860581,88
0.861187,88
0.861792,88
0.862398,88
0.863004,89
0.863609,89
0.864215,89
0.864821,89
0.865426,89
0.866032,89
0.866637,89
0.867243,89
0.867849,90
0.868454,90
0.869060,89
0.869665,89
0.870271,90
0.870877,90
0.871482,90
0.872088,90
0.872694,90
0.873299,90
0.873905,91
0.874510,90
0.875116,90
0.875722,90
0.876327,90
0.876933,90
0.877538,90
0.878144,91
0.878750,90
0.879355,91
0.879961,91
0.880567,90
0.881172,90
0.881778,91
0.882383,91
0.882989,90
0.883595,92
0.884200,91
0.884806,91
0.885411,92
0.886017,92
0.886623,91
0.887228,92
0.887834,92
0.888440,91
0.889045,92
0.889651,92
0.890256,91
0.890862,92
0.891468,92
0.892073,92
0.892679,92
0.893284,92
0.893890,92
0.894496,93
0.895101,92
0.895707,92
0.896313,93
0.896918,92
0.897524,93
0.898129,92
0.898735,92
0.899341,93
0.899946,93
0.900552,93
0.901158,93
0.901763,93
0.902369,93
0.902974,93
0.903580,93
0.904186,93
0.904791,93
0.905397,94
0.906002,93
0.906608,94
0.907214,93
0.907819,93
0.908425,94
0.909031,94
0.909636,93
0.910242,94
0.910847,94
0.911453,94
0.912059,95
0.912664,94
0.913270,94
0.913875,94
0.914481,94
0.915087,94
0.915692,94
0.916298,95
0.916904,95
0.917509,95
0.918115,95
0.918720,95
0.919326,95
